Date,Pee,Poo
01.12.2023,02:27,10:30
,06:10,17:15
,07:20,
,09:35,
,10:35,
,11:16,
,12:00,
,12:15,
,13:40,
,15:00,
,17:05,
,18:23,
,20:15,
,20:50,
,21:59,
02.12.2023,01:23,07:10
,03:00,16:30
,07:07,21:05
,08:45,
,10:11,
,11:07,
,12:36,
,14:33,
,15:48,
,17:42,
,18:44,
,19:47,
,20:54,
,22:32,
03.12.2023,1x Nacht,07:24
,03:00,17:15
,06:29,
,07:28,
,08:30,
,09:30,
,10:31,
,11:33,
,12:22,
,12:49,
,13:50,
,16:12,
,16:57,
,18:25,
,19:26,
,21:23,
,22:06,
04.12.2023,01:25,01:30
,04:43,06:28
,06:27,17:20
,07:05,21:28
,08:00,
,09:23,
,10:06,
,11:10,
,12:25,
,14:45,
,16:48,
,17:40,
,18:40,
,19:35,
,21:02,
,21:20,
,21:54,
,23:12,
05.12.2023,02:17,02:23
,06:04,07:35
,07:30,18:47
,09:48,
,11:45,
,12:20,
,15:14,
,16:04,
,18:14,
,19:42,
,20:56,
,22:23,
06.12.2023,01:19,01:27
,04:38,07:40
,06:45,17:20
,08:18,21:03
,09:58,
,12:44,
,14:19,
,17:01,
,18:24,
,19:14,
,20:19,
,20:47,
,21:47,
,23:54,
07.12.2023,2x Nacht,06:01
,05:55,10:19
,07:00,12:55
,08:25,17:25
,10:12,20:17
,11:20,
,12:25,
,15:44,
,17:16,
,18:43,
,19:47,
,21:28,
,21:33,
08.12.2023,01:21,05:47
,03:56,12:01
,05:43,17:37
,07:02,
,09:02,
,11:39,
,14:36,
,16:41,
,17:35,
,18:31,
,20:21,
,21:20,
,21:37,
,23:21,
09.12.2023,02:24,01:54
,05:14,07:59
,07:26,12:02
,08:05,20:10
,09:13,
,10:27,
,11:05,
,12:03,
,14:59,
,16:48,
,17:15,
,17:38,
,20:05,
,21:02,
,23:28,
10.12.2023,01:54,01:58
,05:25,08:01
,07:12,16:51
,08:47,20:47
,10:43,
,11:34,
,11:40,
,12:19,
,14:11,
,16:09,
,16:20,
,16:59,
,17:31,
,18:56,
,19:57,
,20:41,
,23:01,
11.12.2023,00:50,04:05
,03:42,05:30
,07:45,16:45
,10:20,21:32
,12:55,
,13:55,
,16:00,
,16:48,
,18:42,
,21:27,
12.12.2023,00:37,00:38
,02:56,12:45
,07:06,19:07
,09:30,
,10:07,
,12:35,
,15:43,
,19:05,
,22:07,
13.12.2023,01:05,07:20
,06:19,17:34
,09:15,
,11:42,
,12:48,
,14:40,
,17:32,
,19:51,
,22:38,
,23:53,
14.12.2023,02:21,06:34
,06:27,14:34
,07:30,16:55
,09:00,
,11:15,
,12:20,
,14:10,
,15:15,
,16:38,
,19:57,
,22:40,
,23:58,
15.12.2023,05:24,05:25
,07:55,08:16
,10:20,
,12:29,
,15:28,
,16:09,
,16:55,
,18:48,
,19:46,
,22:55,
16.12.2023,01:55,07:08
,07:07,11:30
,09:34,18:45
,11:05,
,12:05,
,13:40,
,14:40,
,17:00,
,18:30,
,21:30,
17.12.2023,01:06,06:25
,07:50,11:04
,09:30,18:08
,10:39,
,12:06,
,14:29,
,14:58,
,17:00,
,18:05,
,20:18,
18.12.2023,00:51,03:12
,03:10,07:50
,06:11,16:19
,07:33,20:40
,10:55,
,12:10,
,12:43,
,15:40,
,17:05,
,18:13,
,20:15,
,20:25,
,22:30,
19.12.2023,05:40,05:41
,10:45,11:56
,11:56,17:24
,14:00,
,15:44,
,17:24,
,19:26,
,20:26,
20.12.2023,00:51,04:54
,04:54,06:40
,07:30,18:05
,09:30,
,10:49,
,11:50,
,15:10,
,16:00,
,16:40,
,18:00,
,21:30,
,21:35,
21.12.2023,02:00,06:18
,06:18,12:52
,10:35,
,12:30,
,15:45,
,17:50,
,19:54,
22.12.2023,02:10,06:55
,06:00,15:35
,06:50,
,08:06,
,12:00,
,12:40,
,15:03,
,15:34,
,17:20,
,19:30,
,20:19,
23.12.2023,01:30,06:43
,05:30,12:06
,08:32,19:18
,12:38,
,12:56,
,13:12,
,15:38,
,17:10,
,18:44,
,19:24,
,20:40,
,22:25,
24.12.2023,01:30,05:10
,05:11,08:46
,06:58,19:44
,08:01,23:06
,08:57,
,09:50,
,10:20,
,12:44,
,13:39,
,15:06,
,15:22,
,17:16,
,18:25,
,19:38,
,21:55,
,23:07,
25.12.2023,01:43,07:10
,04:56,10:00
,08:00,17:17
,09:55,22:13
,12:20,
,13:00,
,14:14,
,17:09,
,17:46,
,19:08,
,21:10,
26.12.2023,00:18,03:45
,02:49,10:17
,05:55,11:45
,08:09,13:00
,10:12,16:28
,10:49,16:54
,12:36,23:23
,12:50,
,14:25,
,16:26,
,19:07,
,20:19,
,20:38,
,23:21,
27.12.2023,02:19,07:06
,07:01,15:12
,09:33,20:41
,12:12,
,12:30,
,15:05,
,15:40,
,17:03,
,18:01,
,20:38,
28.12.2023,00:18,05:25
,05:22,14:49
,07:47,
,11:29,
,14:36,
,16:30,
,18:40,
,21:07,
,22:32,
,23:40,
29.12.2023,00:27,06:17
,05:00,13:35
,08:00,20:22
,10:35,
,13:29,
,15:35,
,15:58,
,17:00,
,19:59,
,23:27,
30.12.2023,02:42,02:45
,05:52,11:12
,08:00,20:32
,11:06,
,11:45,
,12:09,
,14:11,
,16:50,
,17:12,
,20:22,
,22:58,
,23:55,
31.12.2023,01:30,08:45
,05:30,11:15
,08:40,18:28
,11:00,
,12:15,
,15:16,
,18:12,
,21:32,
