Date,Pee,Poo
01.01.2024,02:32,08:22
,05:29,12:15
,08:26,19:56
,11:35,
,12:06,
,14:27,
,17:10,
,19:43,
,22:16,
02.01.2024,00:30,06:30
,02:17,15:39
,06:27,
,08:20,
,11:41,
,15:37,
,17:51,
,17:54,
,21:11,
03.01.2024,00:35,00:40
,04:22,08:08
,08:02,19:34
,12:02,
,15:37,
,17:33,
,19:32,
,21:03,
,23:05,
04.01.2024,04:11,04:17
,07:42,16:14
,10:50,20:23
,12:33,
,14:30,
,16:12,
,20:13,
,21:33,
,22:48,
05.01.2024,01:17,07:08
,07:05,15:43
,08:05,20:49
,12:01,
,15:40,
,17:01,
,20:23,
,21:46,
06.01.2024,01:56,10:14
,06:54,18:26
,08:23,
,10:13,
,10:47,
,12:48,
,15:02,
,18:18,
,19:58,
,20:35,
,21:04,
07.01.2024,00:45,00:49
,03:16,10:39
,08:08,20:51
,10:36,
,12:47,
,12:49,
,13:21,
,13:30,
,14:03,
,16:58,
,20:39,
,21:16,
,22:17,
,23:09,
08.01.2024,02:45,07:12
,07:09,21:26
,10:53,
,12:11,
,14:14,
,16:25,
,18:34,
,21:24,
,23:12,
09.01.2024,00:08,07:44
,03:35,19:09
,07:40,
,07:41,
,08:56,
,12:28,
,16:54,
,19:04,
,21:14,
,21:15,
,21:29,
,22:02,
,23:13,
10.01.2024,02:22,06:36
,06:31,12:16
,08:20,17:59
,12:01,
,13:07,
,15:52,
,17:54,
,18:20,
,20:36,
,20:38,
,21:35,
,22:07,
11.01.2024,05:08,05:11
,06:57,11:35
,07:07,16:42
,08:56,
,11:32,
,12:18,
,16:39,
,17:37,
,19:39,
,19:52,
,20:50,
,23:33,
12.01.2024,01:44,01:46
,06:03,12:30
,07:47,21:11
,11:56,
,17:22,
,21:08,
,22:28,
,23:19,
,23:59,
13.01.2024,01:19,05:52
,05:48,08:56
,08:40,16:20
,09:20,23:47
,10:51,
,11:34,
,12:45,
,15:32,
,16:16,
,17:15,
,21:28,
,23:40,
14.01.2024,07:36,07:39
,08:56,09:16
,09:12,14:03
,12:56,22:27
,13:18,
,13:27,
,13:49,
,14:35,
,17:27,
,18:12,
,18:42,
,22:23,
15.01.2024,06:08,06:13
,08:25,12:22
,10:46,17:49
,12:11,
,12:21,
,15:13,
,16:26,
,17:43,
,20:40,
16.01.2024,00:02,00:10
,06:10,12:03
,06:17,21:40
,08:31,
,12:00,
,14:32,
,16:31,
,21:33,
,23:54,
,23:57,
17.01.2024,06:35,06:50
,08:35,18:40
,12:23,
,18:14,
,22:23,
,22:26,
,22:37,
18.01.2024,01:37,07:17
,07:14,12:43
,11:55,21:20
,12:32,
,16:57,
,21:16,
19.01.2024,01:29,07:20
,07:17,18:02
,11:20,21:20
,11:23,
,11:46,
,15:47,
,18:00,
,21:03,
,21:18,
,22:01,
20.01.2024,00:11,06:49
,06:44,11:25
,06:45,20:44
,10:43,
,11:37,
,14:37,
,14:54,
,15:25,
,15:52,
,20:30,
,21:03,
,23:44,
21.01.2024,07:10,07:30
,09:17,09:57
,09:28,
,09:52,
,11:18,
,11:40,
,11:55,
,12:44,
,16:26,
,17:41,
,19:20,
,22:11,
,22:18,
22.01.2024,01:00,00:25
,04:35,08:22
,04:37,18:25
,08:15,
,10:43,
,12:05,
,12:27,
,17:35,
,21:32,
,23:12,
23.01.2024,03:45,07:16
,07:11,13:32
,09:18,
,13:08,
,16:56,
,17:25,
,19:13,
,21:40,
24.01.2024,00:09,00:09
,04:26,04:29
,06:15,13:39
,08:41,
,10:34,
,13:20,
,17:27,
,20:34,
,23:59,
25.01.2024,06:59,07:02
,10:19,12:47
,12:42,
,13:40,
,16:35,
,17:01,
,19:10,
,21:18,
,23:07,
26.01.2024,00:51,00:53
,06:53,08:25
,08:02,22:11
,12:26,
,12:31,
,14:08,
,17:16,
,17:31,
,20:23,
,22:05,
27.01.2024,01:59,06:40
,06:33,18:22
,08:30,
,10:33,
,11:20,
,14:05,
,15:00,
,18:13,
,21:03,
,23:53,
28.01.2024,01:59,02:04
,06:42,06:45
,09:03,10:04
,10:01,17:43
,12:17,21:21
,12:22,
,13:11,
,15:29,
,17:24,
,21:18,
,23:24,
29.01.2024,03:08,07:12
,07:10,12:13
,09:27,22:08
,12:05,
,15:52,
,17:47,
,18:25,
,19:17,
,22:02,
30.01.2024,02:42,07:02
,06:59,17:46
,07:21,
,09:24,
,11:38,
,12:41,
,16:14,
,17:44,
,18:14,
,22:37,
,22:41,
31.01.2024,02:58,02:59
,06:46,08:00
,07:54,21:56
,10:45,
,15:10,
,15:11,
,15:40,
,17:57,
,18:01,
,21:51,
