Date,Pee,Poo
01.03.2024,05:40,05:45
,07:30,14:29
,14:13,14:36
,14:30,
,16:25,
,17:19,
,17:31,
,18:00,
,19:38,
,21:18,
,23:37,
02.03.2024,04:55,07:08
,07:01,14:00
,10:30,20:18
,12:55,
,13:51,
,14:25,
,14:54,
,16:34,
,18:24,
,20:15,
,20:16,
,20:50,
,22:50,
03.03.2024,03:56,10:33
,07:00,11:04
,10:08,20:10
,11:00,
,13:30,
,16:36,
,18:18,
,20:01,
,22:31,
04.03.2024,05:56,06:00
,08:37,08:43
,10:56,12:55
,12:45,20:05
,14:58,
,17:35,
,18:00,
,19:57,
,22:40,
05.03.2024,03:48,08:07
,06:40,18:55
,08:09,
,13:05,
,13:13,
,16:07,
,18:51,
,21:15,
,22:40,
06.03.2024,02:04,02:54
,02:49,12:47
,06:42,18:56
,08:16,
,12:44,
,14:51,
,18:49,
,20:31,
,22:41,
07.03.2024,04:04,06:37
,06:36,13:12
,08:19,18:17
,10:58,
,13:07,
,16:37,
,18:15,
,18:31,
,18:50,
,20:18,
,22:30,
08.03.2024,01:30,03:54
,03:49,06:49
,06:41,12:43
,08:07,17:06
,12:32,22:31
,15:55,
,16:45,
,17:21,
,19:22,
,21:00,
,22:25,
09.03.2024,06:34,06:43
,06:36,15:16
,10:33,23:14
,14:00,
,15:14,
,16:14,
,18:23,
,18:40,
,21:24,
,23:13,
10.03.2024,00:45,06:23
,06:18,16:07
,06:19,
,09:02,
,11:04,
,11:50,
,13:46,
,16:05,
,16:34,
,17:31,
,19:50,
,21:26,
,22:56,
11.03.2024,05:11,05:12
,08:11,11:47
,11:45,20:47
,15:00,
,18:13,
,18:27,
,20:43,
,22:07,
12.03.2024,04:04,06:36
,06:32,18:02
,11:14,
,14:33,
,17:50,
,18:29,
,18:36,
,20:32,
,22:43,
13.03.2024,05:04,05:11
,07:30,13:19
,08:16,18:38
,13:16,
,15:35,
,17:44,
,18:36,
,20:50,
,22:43,
14.03.2024,06:00,06:07
,09:54,17:45
,13:33,
,17:27,
,18:28,
,20:25,
,21:54,
,22:52,
15.03.2024,06:00,06:04
,08:11,18:39
,09:16,
,12:23,
,15:20,
,18:36,
,20:58,
,23:52,
16.03.2024,06:15,06:17
,09:06,16:20
,11:54,16:44
,14:18,
,16:18,
,17:24,
,17:40,
,19:32,
,21:24,
,23:26,
17.03.2024,05:30,05:34
,09:28,14:23
,11:12,20:28
,14:21,
,15:31,
,16:04,
,17:48,
,20:23,
,22:58,
18.03.2024,05:10,06:23
,08:22,16:39
,12:00,
,14:27,
,16:36,
,17:27,
,18:40,
,20:18,
,21:44,
19.03.2024,03:25,03:27
,06:05,10:40
,07:24,18:23
,09:21,
,10:14,
,10:43,
,11:19,
,11:58,
,15:21,
,18:20,
,20:17,
,22:24,
20.03.2024,00:30,05:37
,05:31,18:31
,08:23,
,14:26,
,18:09,
,18:25,
,19:13,
,22:12,
21.03.2024,04:51,04:55
,08:04,08:35
,15:13,
,18:17,
,22:11,
22.03.2024,03:55,18:54
,07:24,
,09:07,
,12:00,
,16:09,
,18:48,
,22:01,
23.03.2024,03:48,06:31
,06:28,
,10:11,
,12:51,
,15:12,
,16:24,
,19:04,
,20:44,
24.03.2024,04:32,04:37
,08:48,12:31
,12:01,18:45
,12:24,
,13:09,
,17:05,
,18:20,
,19:34,
,21:25,
25.03.2024,01:37,08:43
,05:03,18:50
,08:42,
,11:15,
,13:28,
,17:57,
,21:47,
26.03.2024,01:06,08:20
,04:26,17:15
,08:15,
,12:20,
,17:04,
,18:05,
,21:27,
,23:26,
27.03.2024,07:00,07:02
,08:56,17:26
,12:51,
,17:22,
,18:02,
,21:47,
,23:15,
28.03.2024,03:22,07:40
,07:36,16:57
,12:19,
,15:53,
,16:53,
,18:05,
,21:29,
29.03.2024,00:20,09:18
,04:22,16:19
,09:14,
,11:23,
,13:59,
,16:00,
,17:35,
,18:10,
,19:12,
,21:35,
,23:07,
30.03.2024,03:07,07:54
,07:53,08:09
,10:59,13:33
,13:30,18:10
,14:47,
,17:08,
,18:11,
,18:19,
,19:37,
,23:34,
31.03.2024,03:39,03:37
,06:30,08:52
,08:50,12:19
,11:46,18:09
,12:18,
,12:57,
,13:59,
,15:31,
,17:22,
,18:07,
,19:12,
,21:53,
